S.NO,TITLE,DESCRIPTION
1,Mastering Multilingual GenAI Open-Weights for Indic Languages,Mastering Multilingual GenAI – Open-Weights for Indic Languages is a course designed to equip you with the knowledge to develop state-of-the-art multilingual AI models using open-weight architectures. Focusing on low-resource languages particularly Indic languages the course covers essential topics like multilingual AI training instruction fine-tuning model building and performance evaluation.
2,Learning Autonomous Driving Behaviors with LLMs & RL,This course dives into the development of autonomous driving behaviors using Reinforcement Learning (RL) and Large Language Models (LLMs). You’ll explore how RL agents are trained to navigate complex real-world environments while making safe human-like driving decisions. The course tackles key challenges such as designing effective reward systems ensuring safety in high-speed driving scenarios and improving the interpretability of AI decisions. Through practical projects you will design RL agents using techniques like Deep Q-Networks (DQN) experience replay and integrate LLMs to enhance decision-making.
3,GenAI Applied to Quantitative Finance: For Control Implementation,This course explores the application of Generative AI in quantitative finance focusing on building sustainable trading algorithms through keyword extraction sentiment analysis and time-series forecasting. Learn to predict commodity prices such as gold by integrating data from financial news sources leveraging sentiment analysis and optimizing models for robust trading signals.
5,Creating Problem-Solving Agents using GenAI for Action Composition,This introductory course provides a concise overview of Agentic AI systems covering their evolution current state and practical applications. You will explore key topics including the history of Agentic AI systems the role of agents today multi-agent systems and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.
6,Improving Real World RAG Systems: Key Challenges & Practical Solutions,This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval dealing with hallucinations context selection and optimizing system performance using advanced prompting retrieval strategies and evaluation techniques. Through hands-on demos you will gain insights into better chunking embedding models and agentic RAG systems for more robust real-world applications.
7,Creating Problem-Solving Agents using GenAI for Action Composition (Repeat),This introductory course provides a concise overview of Agentic AI systems covering their evolution current state and practical applications. You will explore key topics including the history of Agentic AI systems the role of agents today multi-agent systems and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.
8,Improving Real World RAG Systems: Key Challenges & Practical Solutions (Repeat),This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval dealing with hallucinations context selection and optimizing system performance using advanced prompting retrieval strategies and evaluation techniques. Through hands-on demos you will gain insights into better chunking embedding models and agentic RAG systems for more robust real-world applications.
9,Framework to Choose the Right LLM for your Business,This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy cost scalability and integration you will understand how different LLMs perform in specific scenarios from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies helping businesses navigate the rapidly evolving LLM landscape effectively.
10,Building Smarter LLMs with Mamba and State Space Model,Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals data scientists and NLP enthusiasts. Master the art of integrating SSM with deep learning unravel the complexities of models like Mamba and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work making you proficient in the latest AI techniques and architectures.
11,Generative AI - A Way of Life - Free Course,This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT Microsoft Copilot and DALL·E3. Learn practical applications across industries ethical considerations and best practices. Whether you're a content creator business innovator or AI enthusiast gain the expertise to harness Generative AI's full potential and drive innovation in your field.
12,Building LLM Applications using Prompt Engineering - Free Course,This course will provide you with a hands-on understanding of building LLM applications and mastering prompt engineering techniques. By the end of the course you will be proficient in implementing and fine-tuning these techniques to enhance generative AI model performance. You'll learn to apply various prompting methods and build chatbots on enterprise data equipping you with the skills to improve conversational AI systems in real-world projects.
13,Building Your First Computer Vision Model - Free Course,This course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks and classify images.
14,Bagging and Boosting ML Algorithms - Free Course,This course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest AdaBoost and Gradient Boosting to a real-world dataset equipping you with the skills to improve predictive accuracy and robustness in your projects.
15,MidJourney: From Inspiration to Implementation - Free Course,This course will provide you with a practical understanding of MidJourney tools. By the end of the course you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration use MidJourney's features and understand its applications through engaging lessons.
16,Understanding Linear Regression - Free Course,This free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises this course serves as your comprehensive guide to mastering linear regression.
17,The Working of Neural Networks - Free Course,This free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course.
18,The A to Z of Unsupervised ML - Free Course,Get ahead of the crowd with this free course on Unsupervised Machine Learning Models. We will be covering popular clustering algorithms and DBSCAN and show you its applications on a real-world business problem.
19,Data Preprocessing on a Real-World Problem Statement - Free Course,This course will help you get a practical understanding of Data Preprocessing. After this course you can work on any data and prepare it for modelling. With a carefully curated list of resources this course is your first step to becoming a Data Scientist. By the end of the course you will have mastered techniques like EDA and Missing Value Treatment.
20,Exploring Stability.AI - Free Course,This course will give you a practical understanding of Stability.AI tools. By the end of the course you will be able to deploy and customize SD WebUI and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install set up generate and fine-tune SD WebUI settings equipping you with the skills to harness Stability.AI's full potential for your projects.
21,Building a Text Classification Model with Natural Language Processing - Free Course,Gain practical insights into Natural Language Processing (NLP) with our comprehensive course. Learn to build NLP models using PyTorch delve into classification models and apply techniques like bag-of-words count vectorizer and so on. Perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.
22,Introduction to Generative AI,This course will provide you with a comprehensive understanding of generative AI including text and image generation techniques. By the end of the course you will be have an understanding of using generative AI tools for real-world applications like content creation and design. This course is your first step to mastering cutting-edge generative AI technologies.
23,AI Art,This nano-course will introduce you to the basics of Dreambooth and Stable Diffusion models covering how to fine-tune them for generating custom AI art. Learn the fundamental concepts and techniques used in art generation fine-tuning parameters and deploying your own art generation models.
24,Deep Learning with PyTorch,Master the entire deep learning pipeline from data preparation to model evaluation with the PyTorch framework. Build neural networks optimize them and apply techniques to real-world datasets. The course covers advanced topics such as convolutional neural networks recurrent networks and transfer learning providing you with the skills needed to succeed in deep learning projects.
25,Introduction to NLP with Transformers,Learn to implement state-of-the-art NLP models using transformers an essential technology for natural language processing. This course covers fundamental concepts like tokenization embeddings and model fine-tuning with hands-on examples in Python. You will be equipped with the skills to build and deploy NLP solutions using transformers.
26,The Power of Reinforcement Learning in Real-Life,This course will provide you with hands-on experience with Reinforcement Learning (RL) algorithms and their applications in real-life scenarios. You will learn key RL concepts such as exploration-exploitation tradeoff Markov Decision Processes and Q-learning. Real-world applications of RL in gaming robotics and finance will be covered through practical case studies.
27,Deep Dive into GPT-4 Applications,This course offers an in-depth exploration of GPT-4 and its applications in various domains. You'll learn how GPT-4 can be fine-tuned for custom use cases such as chatbots automated content creation and personalized marketing. By the end of the course you'll have the skills to implement GPT-4-based solutions in real-world applications.
28,AI & Machine Learning for Business Decision Making,This course is aimed at business professionals who want to understand how to leverage AI and machine learning for better decision-making. You'll learn key machine learning algorithms and AI tools that can help you make informed data-driven decisions in areas such as finance marketing and operations.
29,Deep Learning for Computer Vision,This course will guide you through the process of building deep learning models for computer vision applications. Learn about convolutional neural networks (CNNs) data augmentation transfer learning and the applications of computer vision in industries like healthcare automotive and retail.
30,Building End-to-End AI Applications,Learn how to design develop and deploy AI models into production with this course. You will work through building AI systems from scratch understanding real-world challenges such as scalability security and integration and how to use cloud platforms to host and monitor your models.
31,Data Science Essentials,This course will cover all the essential data science topics including data cleaning exploratory data analysis and model building. With hands-on examples in Python and R you'll gain the skills to work on data science projects from start to finish.
32,TensorFlow: A Beginner's Guide,This course will introduce you to TensorFlow a popular open-source deep learning framework. You will learn how to build and train neural networks with TensorFlow and how to use it for a range of machine learning tasks including classification regression and time-series forecasting.
33,Deep Learning Fundamentals,This course will take you through the fundamentals of deep learning including neural networks backpropagation and activation functions. You will learn to build train and evaluate deep learning models and explore key architectures like CNNs RNNs and GANs.
34,Advanced Natural Language Processing with Python,Learn advanced NLP techniques with Python and libraries like NLTK and spaCy. Topics include text classification part-of-speech tagging dependency parsing named entity recognition and topic modeling with hands-on exercises using real-world datasets.
35,Practical Machine Learning,This course will provide practical training in machine learning techniques from data preprocessing to model evaluation. You'll learn how to implement and optimize algorithms like decision trees SVM and k-NN applying them to real-world data science problems.
36,Introduction to Speech Recognition,In this course you’ll learn how speech recognition systems work and how to build your own with deep learning techniques. Topics include feature extraction recurrent neural networks and speech-to-text applications.
37,Building Chatbots with Python,This hands-on course will teach you how to create chatbots using Python natural language processing and machine learning algorithms. Learn to build conversational agents from scratch and deploy them to platforms like Slack Facebook or websites.
38,Building Recommendation Systems,This course will introduce you to the key concepts in building recommendation systems using collaborative filtering content-based filtering and hybrid models. You will apply these techniques to datasets like movie ratings and e-commerce recommendations.
39,Big Data Analytics with Hadoop and Spark,Learn to work with large datasets using Apache Hadoop and Spark. You’ll gain skills in data processing batch processing and real-time analytics. Topics include MapReduce HDFS and Spark’s machine learning library MLlib.
40,Implementing AI in Healthcare,This course focuses on the application of AI in healthcare covering topics like predictive modeling diagnostic tools and drug discovery. You’ll learn how to use machine learning to process medical data and build AI-driven healthcare applications.
41,Understanding Blockchain Technology,This course provides a comprehensive introduction to blockchain technology. Learn how blockchains work the role of cryptocurrency and how blockchain can be applied in sectors like finance healthcare and supply chain management.
42,Mastering SQL for Data Analysis,This course will help you master SQL for data analysis covering essential skills like data querying aggregation and joins. You will also learn advanced SQL techniques and best practices to work with databases and analyze data efficiently.
43,Building Data Pipelines with Apache Airflow,Learn how to design and implement data pipelines using Apache Airflow. This course covers automation scheduling and monitoring of workflows helping you build scalable and maintainable data pipelines.
44,AI for Cybersecurity,This course will explore the use of AI in cybersecurity. You’ll learn how machine learning can help detect fraud anomalies and cyber-attacks. With hands-on projects you will gain the skills to protect data and networks from evolving cyber threats.
45,Python for Data Analysis,This course will teach you how to use Python for data analysis. You’ll work with libraries like Pandas NumPy and Matplotlib to process analyze and visualize data. Learn to apply these tools to real-world datasets and gain valuable insights.
46,Machine Learning for Financial Analysis,In this course you’ll learn how to apply machine learning techniques to financial data. Topics include risk modeling portfolio optimization and fraud detection with practical examples and case studies from the financial industry.
47,Data Visualization with Tableau,This course will teach you how to create interactive visualizations and dashboards using Tableau. Learn how to connect data sources create insightful visualizations and present your findings effectively to business stakeholders.
48,Building AI-Powered Virtual Assistants,This course focuses on building virtual assistants powered by AI technologies. Learn how to design conversational flows use natural language processing and integrate your assistant into popular messaging platforms.
49,AI and Deep Learning for Healthcare,This course explores the use of AI and deep learning in healthcare applications. You’ll learn to apply AI to medical imaging disease diagnosis and patient care equipping you with the skills to contribute to healthcare innovations.
50,Mastering Data Analytics with Python,This comprehensive course covers all aspects of data analytics using Python including data wrangling statistical analysis and visualization. You’ll learn how to apply Python to real-world data problems preparing you for a career in data science.
